PersonId,RörelseId,PhaseId,StartTid,SlutTid,AspektId,Gem_Avvikelse
fp1,2a_1,f1,00.00,00.01,1,0
fp1,2a_1,f1,00.00,00.01,2,0
fp1,2a_1,f1,00.00,00.01,3,0
fp1,2a_1,f1,00.00,00.01,4,0
fp1,2a_1,f1,00.00,00.01,5,
fp1,2a_1,f1,00.00,00.01,6,
fp1,2a_1,f1,00.00,00.01,7,
fp1,2a_1,f1,00.00,00.01,8,0
fp1,2a_1,f1,00.00,00.01,9,1
fp1,2a_1,f1,00.00,00.01,10,0
fp1,2a_1,f1,00.00,00.01,11,0
fp1,2a_1,f2,00.01,00.01,1,0
fp1,2a_1,f3,00.01,00.01,1,0
fp1,2a_1,f3,00.01,00.01,2,
fp1,2a_1,f3,00.01,00.01,3,0
fp1,2a_1,f3,00.01,00.01,4,1
fp1,2a_1,f3,00.01,00.01,5,0
fp1,2a_1,f3,00.01,00.01,6,0
fp1,2a_1,f3,00.01,00.01,7,
fp1,2a_1,f3,00.01,00.01,8,1
fp1,2a_1,f3,00.01,00.01,9,0
fp1,2a_1,f3,00.01,00.01,10,0
fp1,2a_1,f3,00.01,00.01,11,0
fp1,2a_1,f3,00.01,00.03,12,0
fp2,2a_1,f1,00.06,00.07,1,1
fp2,2a_1,f1,00.06,00.07,2,1
fp2,2a_1,f1,00.06,00.07,3,2
fp2,2a_1,f1,00.06,00.07,4,2
fp2,2a_1,f1,00.06,00.07,5,
fp2,2a_1,f1,00.06,00.07,6,2
fp2,2a_1,f1,00.06,00.07,7,1
fp2,2a_1,f1,00.06,00.07,8,2
fp2,2a_1,f1,00.06,00.07,9,1
fp2,2a_1,f1,00.06,00.07,10,1
fp2,2a_1,f1,00.06,00.07,11,1
fp2,2a_1,f2,00.07,00.07,1,2
fp2,2a_1,f3,00.07,00.07,1,1
fp2,2a_1,f3,00.07,00.07,2,
fp2,2a_1,f3,00.07,00.07,3,1
fp2,2a_1,f3,00.07,00.07,4,1
fp2,2a_1,f3,00.07,00.07,5,2
fp2,2a_1,f3,00.07,00.07,6,0
fp2,2a_1,f3,00.07,00.07,7,
fp2,2a_1,f3,00.07,00.07,8,1
fp2,2a_1,f3,00.07,00.07,9,1
fp2,2a_1,f3,00.07,00.07,10,0
fp2,2a_1,f3,00.07,00.07,11,1
fp2,2a_1,f3,00.07,00.09,12,1
fp3,2a_1,f1,00.07,00.08,1,1
fp3,2a_1,f1,00.07,00.08,2,0
fp3,2a_1,f1,00.07,00.08,3,1
fp3,2a_1,f1,00.07,00.08,4,0
fp3,2a_1,f1,00.07,00.08,5,
fp3,2a_1,f1,00.07,00.08,6,0
fp3,2a_1,f1,00.07,00.08,7,
fp3,2a_1,f1,00.07,00.08,8,1
fp3,2a_1,f1,00.07,00.08,9,1
fp3,2a_1,f1,00.07,00.08,10,1
fp3,2a_1,f1,00.07,00.08,11,1
fp3,2a_1,f2,00.08,00.08,1,1
fp3,2a_1,f3,00.08,00.08,1,0
fp3,2a_1,f3,00.08,00.08,2,
fp3,2a_1,f3,00.08,00.08,3,1
fp3,2a_1,f3,00.08,00.08,4,1
fp3,2a_1,f3,00.08,00.08,5,2
fp3,2a_1,f3,00.08,00.08,6,0
fp3,2a_1,f3,00.08,00.08,7,
fp3,2a_1,f3,00.08,00.08,8,1
fp3,2a_1,f3,00.08,00.08,9,0
fp3,2a_1,f3,00.08,00.08,10,1
fp3,2a_1,f3,00.08,00.08,11,1
fp3,2a_1,f3,00.08,00.10,12,1
fp4,2a_1,f1,00.05,00.06,1,1
fp4,2a_1,f1,00.05,00.06,2,0
fp4,2a_1,f1,00.05,00.06,3,0
fp4,2a_1,f1,00.05,00.06,4,1
fp4,2a_1,f1,00.05,00.06,5,
fp4,2a_1,f1,00.05,00.06,6,
fp4,2a_1,f1,00.05,00.06,7,
fp4,2a_1,f1,00.05,00.06,8,0
fp4,2a_1,f1,00.05,00.06,9,1
fp4,2a_1,f1,00.05,00.06,10,1
fp4,2a_1,f1,00.05,00.06,11,1
fp4,2a_1,f2,00.06,00.06,1,1
fp4,2a_1,f3,00.06,00.06,1,0
fp4,2a_1,f3,00.06,00.06,2,
fp4,2a_1,f3,00.06,00.06,3,0
fp4,2a_1,f3,00.06,00.06,4,1
fp4,2a_1,f3,00.06,00.06,5,1
fp4,2a_1,f3,00.06,00.06,6,0
fp4,2a_1,f3,00.06,00.06,7,
fp4,2a_1,f3,00.06,00.06,8,2
fp4,2a_1,f3,00.06,00.06,9,2
fp4,2a_1,f3,00.06,00.06,10,1
fp4,2a_1,f3,00.06,00.06,11,1
fp4,2a_1,f3,00.06,00.08,12,1
fp5,2a_1,f1,00.06,00.07,1,1
fp5,2a_1,f1,00.06,00.07,2,1
fp5,2a_1,f1,00.06,00.07,3,0
fp5,2a_1,f1,00.06,00.07,4,
fp5,2a_1,f1,00.06,00.07,5,
fp5,2a_1,f1,00.06,00.07,6,0
fp5,2a_1,f1,00.06,00.07,7,1
fp5,2a_1,f1,00.06,00.07,8,0
fp5,2a_1,f1,00.06,00.07,9,2
fp5,2a_1,f1,00.06,00.07,10,1
fp5,2a_1,f1,00.06,00.07,11,2
fp5,2a_1,f2,00.07,00.07,1,1
fp5,2a_1,f3,00.07,00.07,1,0
fp5,2a_1,f3,00.07,00.07,2,
fp5,2a_1,f3,00.07,00.07,3,0
fp5,2a_1,f3,00.07,00.07,4,1
fp5,2a_1,f3,00.07,00.07,5,1
fp5,2a_1,f3,00.07,00.07,6,0
fp5,2a_1,f3,00.07,00.07,7,
fp5,2a_1,f3,00.07,00.07,8,0
fp5,2a_1,f3,00.07,00.07,9,1
fp5,2a_1,f3,00.07,00.07,10,1
fp5,2a_1,f3,00.07,00.07,11,1
fp5,2a_1,f3,00.07,00.09,12,0
fp1,2a_2,f1,00.04,00.05,1,0
fp1,2a_2,f1,00.04,00.05,2,0
fp1,2a_2,f1,00.04,00.05,3,
fp1,2a_2,f1,00.04,00.05,4,
fp1,2a_2,f1,00.04,00.05,5,0
fp1,2a_2,f1,00.04,00.05,6,0
fp1,2a_2,f1,00.04,00.05,7,
fp1,2a_2,f1,00.04,00.05,8,
fp1,2a_2,f1,00.04,00.05,9,
fp1,2a_2,f1,00.04,00.05,10,
fp1,2a_2,f1,00.04,00.05,11,0
fp1,2a_2,f1,00.04,00.05,12,0
fp1,2a_2,f1,00.04,00.05,13,0
fp1,2a_2,f1,00.04,00.05,14,0
fp1,2a_2,f1,00.04,00.05,15,0
fp1,2a_2,f2,00.05,00.05,1,0
fp1,2a_2,f3,00.05,00.05,1,
fp1,2a_2,f3,00.05,00.05,2,0
fp1,2a_2,f3,00.05,00.05,3,0
fp1,2a_2,f3,00.05,00.05,4,0
fp1,2a_2,f3,00.05,00.05,5,0
fp1,2a_2,f3,00.05,00.05,6,
fp1,2a_2,f3,00.05,00.05,7,0
fp1,2a_2,f3,00.05,00.05,8,0
fp1,2a_2,f3,00.05,00.07,9,0
fp2,2a_2,f1,00.09,00.10,1,1
fp2,2a_2,f1,00.09,00.10,2,1
fp2,2a_2,f1,00.09,00.10,3,
fp2,2a_2,f1,00.09,00.10,4,
fp2,2a_2,f1,00.09,00.10,5,0
fp2,2a_2,f1,00.09,00.10,6,
fp2,2a_2,f1,00.09,00.10,7,
fp2,2a_2,f1,00.09,00.10,8,
fp2,2a_2,f1,00.09,00.10,9,
fp2,2a_2,f1,00.09,00.10,10,
fp2,2a_2,f1,00.09,00.10,11,1
fp2,2a_2,f1,00.09,00.10,12,1
fp2,2a_2,f1,00.09,00.10,13,
fp2,2a_2,f1,00.09,00.10,14,
fp2,2a_2,f1,00.09,00.10,15,0
fp2,2a_2,f2,00.10,00.10,1,1
fp2,2a_2,f3,00.10,00.10,1,
fp2,2a_2,f3,00.10,00.10,2,0
fp2,2a_2,f3,00.10,00.10,3,1
fp2,2a_2,f3,00.10,00.10,4,1
fp2,2a_2,f3,00.10,00.10,5,0
fp2,2a_2,f3,00.10,00.10,6,
fp2,2a_2,f3,00.10,00.10,7,0
fp2,2a_2,f3,00.10,00.10,8,1
fp2,2a_2,f3,00.10,00.12,9,1
fp3,2a_2,f1,00.10,00.11,1,1
fp3,2a_2,f1,00.10,00.11,2,1
fp3,2a_2,f1,00.10,00.11,3,
fp3,2a_2,f1,00.10,00.11,4,
fp3,2a_2,f1,00.10,00.11,5,0
fp3,2a_2,f1,00.10,00.11,6,1
fp3,2a_2,f1,00.10,00.11,7,
fp3,2a_2,f1,00.10,00.11,8,
fp3,2a_2,f1,00.10,00.11,9,1
fp3,2a_2,f1,00.10,00.11,10,
fp3,2a_2,f1,00.10,00.11,11,1
fp3,2a_2,f1,00.10,00.11,12,0
fp3,2a_2,f1,00.10,00.11,13,
fp3,2a_2,f1,00.10,00.11,14,
fp3,2a_2,f1,00.10,00.11,15,1
fp3,2a_2,f2,00.11,0.11,1,0
fp3,2a_2,f3,0.11,0.11,1,
fp3,2a_2,f3,0.11,0.11,2,1
fp3,2a_2,f3,0.11,0.11,3,0
fp3,2a_2,f3,0.11,0.11,4,
fp3,2a_2,f3,0.11,0.11,5,0
fp3,2a_2,f3,0.11,0.11,6,
fp3,2a_2,f3,0.11,0.11,7,0
fp3,2a_2,f3,0.11,0.11,8,
fp3,2a_2,f3,0.11,00.14,9,1
fp4,2a_2,f1,00.08,00.09,1,1
fp4,2a_2,f1,00.08,00.09,2,1
fp4,2a_2,f1,00.08,00.09,3,
fp4,2a_2,f1,00.08,00.09,4,
fp4,2a_2,f1,00.08,00.09,5,2
fp4,2a_2,f1,00.08,00.09,6,1
fp4,2a_2,f1,00.08,00.09,7,
fp4,2a_2,f1,00.08,00.09,8,
fp4,2a_2,f1,00.08,00.09,9,1
fp4,2a_2,f1,00.08,00.09,10,
fp4,2a_2,f1,00.08,00.09,11,1
fp4,2a_2,f1,00.08,00.09,12,0
fp4,2a_2,f1,00.08,00.09,13,
fp4,2a_2,f1,00.08,00.09,14,
fp4,2a_2,f1,00.08,00.09,15,1
fp4,2a_2,f2,00.09,00.09,1,2
fp4,2a_2,f3,00.09,00.09,1,
fp4,2a_2,f3,00.09,00.09,2,1
fp4,2a_2,f3,00.09,00.09,3,0
fp4,2a_2,f3,00.09,00.09,4,
fp4,2a_2,f3,00.09,00.09,5,0
fp4,2a_2,f3,00.09,00.09,6,
fp4,2a_2,f3,00.09,00.09,7,0
fp4,2a_2,f3,00.09,00.09,8,
fp4,2a_2,f3,00.09,00.11,9,1
fp5,2a_2,f1,00.09,00.10,1,1
fp5,2a_2,f1,00.09,00.10,2,0
fp5,2a_2,f1,00.09,00.10,3,
fp5,2a_2,f1,00.09,00.10,4,1
fp5,2a_2,f1,00.09,00.10,5,1
fp5,2a_2,f1,00.09,00.10,6,
fp5,2a_2,f1,00.09,00.10,7,
fp5,2a_2,f1,00.09,00.10,8,
fp5,2a_2,f1,00.09,00.10,9,1
fp5,2a_2,f1,00.09,00.10,10,
fp5,2a_2,f1,00.09,00.10,11,1
fp5,2a_2,f1,00.09,00.10,12,1
fp5,2a_2,f1,00.09,00.10,13,
fp5,2a_2,f1,00.09,00.10,14,
fp5,2a_2,f1,00.09,00.10,15,1
fp5,2a_2,f2,00.10,00.10,1,0
fp5,2a_2,f3,00.10,00.10,1,
fp5,2a_2,f3,00.10,00.10,2,0
fp5,2a_2,f3,00.10,00.10,3,1
fp5,2a_2,f3,00.10,00.10,4,2
fp5,2a_2,f3,00.10,00.10,5,0
fp5,2a_2,f3,00.10,00.10,6,
fp5,2a_2,f3,00.10,00.10,7,0
fp5,2a_2,f3,00.10,00.10,8,2
fp5,2a_2,f3,00.10,00.12,9,1
